incident_summary,raw_output,true_civilians,pred_civilians,true_maoist,pred_maoist,true_government_officials,pred_government_officials,true_security,pred_security,true_private_property,pred_private_property,true_mining_company,pred_mining_company,true_government_infrastructure,pred_government_infrastructure,true_non_maoist_armed_group,pred_non_maoist_armed_group,true_no_target,pred_no_target
"A PLFI cadre, identified as Jitendra Mahto, was arrested from Hatia locality in Ranchi District. A pistol and live cartridges were recovered from his possession.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"An alleged arms supplier to the Communist Party of India-Maoist (CPI-Maoist), identified as Ravi Kumar Chevori, was arrested from Cyberabad near Hyderabad. He had entered into a deal with the Maoists to supply arms and ammunition worth INR 40 lakh, which the city Police seized on December 28, 2006, and arrested three persons.","Maoist, Security",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A CPI-Maoit cadre, identified as Sanjay alias Nepali, was arrested by a joint team of CRPF and Bihar Police in Jamui District. ASP DN Pandey said that Sanjay was arrested from Dakshini Pahari Lenin village under Chandradeep Police Station limits.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A group of around 10 armed CPI-Maoist cadres reportedly killed a villager, identified as B. Balakrishna (35) in Killamkota village in G. Madugula mandal (administrative unit) in Visakhapatnam District.",Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The CPI-Maoist cadres killed a Sarpanch in Malkangiri District. A group of Maoists came to Badapada under Kuduguluguma block and forcibly took away Jayaram Khara on December 25. But villagers found the body of Khara near the village on Saturday morning with his throat slit. It is suspected that Maoists killed the Sarpanch branding him as a 'Police informer'.,"Government Officials, Maoist",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"A mini gun factory was unearthed from Pinjani village under Kunda Police Station in Chatra District. Police arrested two persons, identified as Ramdhani Mistry (45) and Ram Chandra Mistry (30), repairing guns in the factory. Chatra Superintendent of Police (SP) Anup Birthary said five country-made guns, one pistol, three mobile phones, two cameras, firing pins and other machines were recovered from the spot. ""Those arrested are not Naxalites but they provide support to the rebels. The arrested are being interrogated,"" said the SP.",Security,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"An action team of the CPI-Maoist killed a person, Bomma China Venkatesham, at Vadderagudem in the Nalgonda District.",Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A CPI-Maoist cadre, identified as Hinsaram Muriya, a member of Bayanar Dalam, carrying a reward of INR 5,000 on his head was arrested from Mungwal village under Bayanar Police Station limits in Kondagaon District.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Maoists set a truck ablaze at Baheriabigha village in Gaya District of Bihar, after the contractor engaged in construction of road under the PMGSY between Baheriabigha and Harna villages failed to pay levy.",Private Property,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"A powerful IED, suspected to be planted by the Maoists, was recovered from Telengapada forest near Paiganda in Gajapati District.",No Target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Two Naxals, identified as Chaitan Munda alias Langra and Budhram Lohra, were arrested by the Police in Khunti District. Besides 100 detonators, a pistol and four rounds of cartridge were also found during the raid.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The Police arrested two persons, including a village sarpanch for their alleged involvement in the landmine blast triggered by the CPI-Maoist on January 21 that claimed 13 lives, in Garhwa District. ""Bargarh village sarpanch Ramdas Minz and his aide Fida Hussain were arrested after we got evidence against them. They are charged under various Sections, like murder and criminal conspiracy,"" SP Michael S. Raj said.",Government Officials,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Four cadres of the PLFI, a breakaway faction of the CPI-Maoist, were arrested during a raid in Koelibera and Bano Police Station areas under Koelibera Block in Simdega District.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CPI-Maoist cadres set 22 tipper trucks of Essar Steel plant and removed a stretch of the Kirandole rail line in the Dantewada District, resulting in the derailment of two engines. A group of 200 armed Maoists stormed the industrial pocket at Bacheli village near Kirandole and burnt the trucks meant for transporting iron-ore. The attack continued till late in the night and the loss was said to be quite extensive. Maoists were observing an anti-oppression week in response to the call given by the Dandakaranya special zonal committee and the Orissa-Chhattisgarh border zonal committee of the outfit to protest against the Salwa Judum. The Maoists reportedly had been holding meetings since a week and distributing pamphlets and publicity material in the forest villages on the Konta-Dantewada highway urging the local people to support their cause.","Mining Company, Government Infrastructure, Private Property",0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
"Bihar Police seized a mobile phone possibly belonging to CPI-Maoist cadres who triggered the landmine blast near a culvert at Majhaulia village in Gaya District, on February 22, killing eight persons including seven SFs.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Two forest guards were attacked by suspected CPI-Maoist cadres in the Satkosia Wildlife Sanctuary of Odisha.,Security,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Suspected cadres of the CPI-Maoist attacked Ganakkata village in Jhargram sub-division and killed three persons, identified as Sandhyarani Mahato, Rashbihari Mahato, Owahed Ali, in West Midnapore District.",Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chhattisgarh Police have arrested five CPI-Maoist conduits, part of an urban network, from their native places under Bhansi Police Station limits in Dantewada District.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A top CPI-Maoist ‘commander’, identified as Kiran alias Sannu Potam (26), carrying reward of INR 500,000 and allegedly involved in Jeeram attack on May 2013 that killed top Congress leaders, surrendered with weapon before IG of Police Bastar range and SP in Dantewada District. Potam was active in Malangir area committee surrendered with his SLR, two magazine and 47 live cartridges, following which he will be given INR 800,000 including the reward amount on him and as part of Surrender cum Rehabilitation Scheme of State government.","Maoist, Security",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Cadres of the CPI-Maoist shot dead one CRPF trooper, Pitambar Kumar Singh, in his house at Ninder the Latehar District. Singh, who was posted at the Ghatsila sub-division in East Singhbhum District, was reportedly on leave.","Security, Private Property",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"he District voluntary force, a wing of the Malkangiri District Police, arrested six cadres of the CPI-Maoist from Kondapalli forest area under the Motu Police station limits. The arrested include a Maoist doctor and an expert in writing Maoist literature. The arrested have been identified as Marian Mukta Madiam, Sariam Rama, Rama Prasad Sana, Dr Sujay Dafatar, Ranjit Sarkar and Karam Sita. Police recovered six detonators, 26 gelatin sticks, 100 meter wire, gun powder and some life-saving drugs from the arrested Maoists. Superintendent of Police Satish Kumar Gajbhiye said that the arrested Maoists were acting as couriers for Maoist leaders like Ashok and Jaga, attended Maoist meetings and extended logistics support to the movement.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPI-Maoist cadres killed two local leaders of the ruling Communist Party of India-Marxist (CPI-M) at Supurdih village in the Balarampur area of Purulia District. Police said Bibhuti Singh Sardar and Baikuntha Mahato were returning from a fair at around 11pm when some motorcycle-borne assailants shot at them from a close range killing the duo on the spot. While the Police are yet to identify the assailants, family members of the victims said the killers raised slogans in support of the Maoists after killing the two. The CPI-M called a 12-hour shutdown in Balarampur on April 24 to protest the incident.",Government Officials,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"The CPI-Maoist cadres killed 44 persons, including 28 civilians and 16 Special Police Officers (SPOs), when they blew up a bus by triggering an improvised explosive device (IED) on a black-top road at Chingavaram near Sukma in Dantewada District. Four civilians and two SPOs were also injured. There were around 32 civilians and 18 SPOs in the bus.","Civilians, Security",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"A 25-year-old member of the PLFI, who was wanted in the March 30 Patna apartment blast case, was arrested from a hospital in Ranchi, the capital city of Jharkhand. Investigating officers believe that Sonu was mastermind of the blast.",Non-Maoist Armed Group,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Security forces engaged the Maoists in an encounter near Satbahani river in the Chatra District.,"Maoist, Security",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Two CPI-Maoist cadres, identified as Bhagat and Kosa, were killed during an encounter between Police personnel and the Maoists in the forest area in the Konta village of Dantewada District along the Chhattisgarh-Andhra Pradesh border. Police recovered one rifle, one 12 bore rifle and a cartridge from the encounter site.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A retired school teacher, identified as Nargo Subhasundar (65), of Minjapanka village under Brahmanigaon Police Station limits was reportedly abducted and subsequently killed by the cadres of the CPI-Maoist in Kandhamal District. DIG R. K. Sharma said the dead body was recovered by the personnel of SOG.",Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cadres of the PLFI, a break-away faction of the CPI-Maoist, killed two villagers identified as Samnichar Khadia (35) and his nephew Chaitu Khadia (30) at Kulbir-Ambatoli Village in Gumla District. The Sanjay Tiger group of PLFI is suspected to be involved in the killing, a Police officer added.",Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cadres of the CPI-Maoist set ablaze a truck on the National Highway No. 6 near Rajnandgaon.,Private Property,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Two village guards identified as Manik Khilo and Jagabandhu Khilo were killed by the CPI-Maoist cadres in the cut-off area of the Chitrakonda reservoir in Malkangiri District.,Non-Maoist Armed Group,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Two constables of CRPF sustained injuries in an IED blast in Bijapur District of Chhattisgarh. The blast took place in Murdandha village falling in Awapalli Police Station limits in the morning, said Bijapur's ASP Indira Kalyan Elesela.",Security,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"The joint SF operating in the CPI-Maoist-affected West Midnapore District recovered a cache of arms belonging to the Maoists in an operation. ""Acting on a tip-off, a joint-team of the Central Reserve Police Force (CRPF) and the State Police conducted a raid in the forest area near Auspal village. Four firearms, 10 rounds of ammunition, two landmines and several explosive devices were recovered from the spot,"" Mukesh Kumar, ASP (Jhargram) said.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An encounter took place between the Police and CPI-Maoist cadres in Sakaul forest of Munger District.,"Maoist, Security",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Separately, Maoists attacked a Government complex at Lakshmipur in the Jamui District housing the offices of the BDO, Circle Officer and the local Police station around the same time. However, resistance put up by the Police made the Maoists retreat after blasting a portion of the BDO's office.","Government Officials, Security, Government Infrastructure",0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
About 25 to 30 CPI-Maoist cadres stormed the house of a prospective recruit in Buruda village in Bhanja Nagar area of Ganjam District and hacked one of his hands when he had refused to join their ranks.,"Civilians, Maoist",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A CPI-Maoist cadre managed to decamp with one assault rifle and two grenades from the Durgkondal Police station in the Kanker District. The 27-year old Maoist Guddu alias Gadwa had come to the Police station two weeks ago and claimed that he had broken ranks with the outfit and hence, faced a threat to his life from his former colleagues. The Police officers kept him in 'protective custody' on the condition that he would disclose information about the outfit. Abhisek Pathak, Kanker District superintendent of Police, said, ""We will probe the matter and action will surely be taken against the Police officers of the Durgkondal Police station because now it looks like the rebel had a staged drama of having broken ranks with the terror outfit to fool the Police.""",Security,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"The Ranchi Police arrested six PLFI cadres, including PLFI 'leader' Aditya Kumar Gope from Pandra Bazar in the District. Gope was wanted in a number of cases registered with the Gumla Police; antecedents of his aides are yet to be verified. ""We suspect all five members of his group - Mantu Kumar Singh, Kundan Kumar Chandravanshi, Rahul Dayal, Vishal Kumar and Nadim Ansari -to have links with the PLFI,"" said city SP Ranjit Prasad. Gope was identified as a wanted criminal who was released on bail recently,"" Prasad said. The Police recovered one SUV and one stolen motorcycle from their possession.","Security, Non-Maoist Armed Group, Private Property",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"A Naxalite, Madnayya alias Karpa Shankar Atram - 'dalam commander' of Permili dalam and Permili Area Committee member - was arrested from his hideout in the Tondela village under Permili sub-Police station jurisdiction of Gadchiroli District. He was active since 2001 and was wanted in cases of murder and arson.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eight extremists, including a Deruvada Area committee cadre of the CPI-Maoist, identified as Nimmaka Bangaraju (34), surrendered before Police at Parvathipuram in the Vizianagaram District. Bangaraju, a native of Kusa village in G. L. Puram mandal (administrative unit), was involved in several extremist activities.",No Target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CPI-Maoist released all six abducted tractor drivers in a forest at Punadih village in Lakhisarai District of Bihar, hours after abducting them.",Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An exchange of fire took place between the Maoists and Police in the Tadvai forest area in Warangal District when a Police party combing the forest area spotted a group of Maoists.,"Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A group of CPI-Maoist laid siege to a camp of a contractor engaged in road construction activities under the Prime Minister's Gram Sadak Yojna (village road construction project) and demanded an extortion amount of INR 200,000 from him. According to the report, a group of armed Maoists seized the camp for four hours at Bhuka under Harichandanpur Police station in the Keonjhar District and threatened the supervisor and contractor.","Maoist, Private Property",1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
A magisterial probe has been ordered into a gunfight between SFs and Maoists near the Michewada Hills in Kanker District in which two militants were killed. The report will be submitted in a month.,"Maoist, Security",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Two people were killed and 15 vehicles set ablaze at Ghat Pindari near Wadrafnagar in the Surguja District by the Maoists.,"Civilians, Private Property",1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"The CPI-Maoist cadres attacked the Special Operations Group (SOG) personnel in the forest near Gandima village Rayagada District, the Police said. ""The SOG team came under a volley of bullets from the Maoist guerrillas when they were going out to search a place. When the security forces retaliated, the attackers fled, leaving behind two rifles and ammunition. No injury has been reported so far,"" Muniguda Police station in-charge A.K. Mohanty said.",Security,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A hardcore Maoist and three others were arrested from Piprahi in Sheohar District, Police sources said.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Launching an anti-Naxal operation in the mining belt of Jharkhand, Security Forces, arrested seven suspected cadres of the PLFI, a breakaway faction of the CPI-Maoist, in Ranchi. The Police said the arrested PLFI cadres operated in and around the open cast mines of the Central Coalfields in Khelari near Ranchi and were wanted in more than half a dozen cases of murder, arson, illegal possession of arms. The arrested cadres include Kargil Yadav, identified as 'zonal commander' of the outfit, who was out on bail.","Security, Maoist, Mining Company",0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Around 25 to 30 armed Maoists set ablaze a liquor joint at Bansapal in Keonjhar District.,Private Property,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Suspected cadres of the CPI-Maoist shot dead a doctor, Dinesh Prasad, at Nauhatta in Sasaram, the headquarter town of Rohtas District.",Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A top CPI-Maoist cadre, identified as Balabhadra Madhi (30), was arrested in the Malkangiri District. The Superintendent of Police Satyabrata Bhoi said Madhi was arrested during a combing operation by the CRPF and SOG in Salimarikuanda forest in Kalimela area while moving in a suspicious manner. During interrogation, it was found that Madhi is an 'area commander' of the Maoists.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chhattisgarh Pradesh Congress Committee member Avdesh Kumar Gautam had a narrow escape near Nakulnar weekly market in the Dantewada District when Maoists opened fire on him but missed their target. Gautam, who is on the hit list of Maoists because of his close association with Salwa Judum leaders",Government Officials,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
One Special Police Officer (SPO) was killed in a bomb blast near Pamalvaya in the areas between Bijapur and Gangalur in the Bijapur District. The incident occurred when a SPO during a combing operation accidentally stepped on a bomb planted by the Maoists.,Security,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Four CPI-Maoist militias including a commander of a militia group surrendered before the DIG, BSF, Akhileswar Singh at the BSF camp in Koraput District, Odisha.","Maoist, Security",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Two persons, a truck driver and a cleaner, identified as Heeralal Oraon (30) and Nilesh Oraon (26) respectively, were killed and four labourers - Ashok Oraon, Sureshwar Oraon, Sameer Oraon and Upendra Oraon - sustained injuries when they were caught in an encounter between SF personnel and CPI-Maoist cadres at Marwai village under Bishunpur Police Station limits in Gumla District of Jharkhand.",Civilians,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Suspected cadres of the CPI-Maoist shot at Binod Singh, the employee of a contractor engaged in road construction and critically wounded him at Itkhori in Chatra District.",Private Property,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pakur District Police arrested another CPI-Maoist cadre, identified Vakil Hembram, of Charkadanga, in connection with the ambush of Pakur SP Amarjit Balihar and his team in Kathikund area of Dumka District.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Around 50 armed Maoists set ablaze five tractors at Jogiya village of Khairabind panchayat in Aurangabad District.,Private Property,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Two hardcore CPI-Maoist cadres, identified as Arjun Meleka and Musuri Wateka, allegedly involved in about eight cases, were arrested by SF personnel during a special operation, from Kanchanpadu village under Narayanpatna area in Koraput District. The arrested duo, active in the area for quite a long time, was involved in about eight criminal cases including murder, landmine explosion, extortion and attack on attach on SFs in the area, Koraput Superintendent of Police Awinash Kumar said.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPI-Maoist cadres damaged a new building, which was to become a Police Station in Aurangabad District.","Government Infrastructure, Security",0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
"Acting on a tip-off, Police arrested Umesh alias Radheshyam Yadav and Laldas Mochi alias Mukesh, both cadres of the CPI-Maoist in Patna District.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Maoists blocked the road by putting boulders and trees in the Antagarh area of Kanker District,Government Infrastructure,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Over 30 armed cadres of the CPI-Maoist attacked Baratand village in Banka District and fired several rounds killing two villagers on the spot and injuring two others.,Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The combing operation to arrest RK, in the Andhra Pradesh Odisha border region, will continue, said Malkangiri SP Mitrabhanu Mahapatra. Maoist literatures, 500 bags of rice and grenades have been recovered from the encounter site.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A top CPI-Maoist leader, Gautam alias Bandareddy Subba Rao, was killed in an encounter with the Police near Bandigadda village in the East Godavari District.","Maoist, Security",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"CPI-Maoist cadres shot dead a civilian, Boya Kadireppa, at Bandameedipalli village in the Rapthadu area of Anantapur District.",Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A Kolkata-based publisher Asit Sengupta was arrested in Raipur, capital of Chhattisgarh, for his alleged links with the CPI-Maoist. A senior Police official told, ""A publisher from Kolkata, Asit Sen Gupta was arrested after huge amount of literature related to the banned Naxal organisation CPI-Maoist and other things were recovered from his house from Tikrapara area of Raipur.""","Civilians, Security",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"While fleeing, the Maoists planted a five kg ‘cane-bomb’ under the culvert of the approach road. A Police team on December 9 recovered the ‘cane-bomb’.",Security,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"A dalam member of CPI-Maoist LOS, identified as Madivi Nandu alias Ramesh (26) was arrested by a joint team of Police and CRPF personnel in Battigudem reserve forest area in Charla mandal in Khammam District of Telangana.","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A group of men, suspected to be CPI-Maoist cadres, torched a vehicle carrying mid-day meal for school children and ate the food before taking away the containers at Ijurupa under Lanjigarh Police Station limits in Kalahandi District.","Private Property, Civilians",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Around 100 armed cadres of the CPI-Maoist blew up one mobile tower in Sanda village under the Kutumba Police Station in Aurangabad District. The Maoists also assaulted Radhe Singh, the guard, before leaving the spot.","Government Infrastructure, Civilians",1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"A huge cache of protein powder, supplied to CPI-Maoist cadres, was seized in Rajnandgaon District.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A local committee leader of the ruling CPI-M was shot dead by cadres of the CPI-Maoist at Chingra locality under Sarenga Police Station in the Bankura District in the evening, Police said. ""Krishna Kundu, CPI-M’s Bikrampur local committee secretary, was killed by a group of Maoists ultras,"" a senior officer of Sarenga Police Station. The incident took place when Kundu was returning to his home from a nearby market on his bicycle.",Government Officials,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Police arrested a CPI-Maoist cadre, Raj Narayan alias Raju, from Jamsoti Chuvar village in the Chandauli District.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A 13-year-old sympathiser of the CPI-Maoist, identified as Baburm Kisku, was arrested on an unspecified date from Khadimba village in the Dumka District.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Three Maoists were arrested from Badeshetty village in Sukma District. ""Kalmu Sanna, Ravan Sanna and Kalmu Bundi are wanted in many cases of murder, attempt to murder. Their names also cropped up during the investigations in connection with the recent encounter between police and the ultras under Gadiras police station limits,"" Sukma Superintendent of Police Abhishek Shandilya said.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The CPI-Maoist cadres attacked the house of a Jharkhand Mukti Morcha leader in the East Singhbhum District, injuring a family member.","Government Officials, Private Property, Civilians",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"CPI-Maoist area commander, Tarkeshwar Kanhar, was arrested by the Police during a search operation at his residence in Ghodbanda village of Hussainabad in the Palamu District. According to the District Superintendent of Police Dipak Kumar Verma, the arrested commander was one of the founder members of the erstwhile PWG. At present, he was operating at Hussainabad division in Navinagar and Tandwa of Bihar. Verma also added that he was involved in eight different cases such as fixing a cane bomb in Alarpur village on Hussainabad Japla main road when Irrigation Minister Kamlesh Singh visited Hussainabad on May 27, 2007, blowing up bazar samiti building in Mahudand village on November 19, 2007, setting ablaze Ramlakhan Yadav`s house in Vishwasiya village on January 1, 2008, murder of Dhura Paswan who was supporter of Tritiya Prastuti Committee (TPC) on June 16, 2008.","Maoist, Security, Government Officials, Private Property",0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"Two associates of Arup Mochi alias Arun, Dalma squad ‘sub-zonal commander’ of the CPI-Maoist, identified as Maheshwar Mahto and Ganesh Chandra Tudu, were arrested after an encounter with the Police at Borha village of East Singhbhum District. ""We have detained one more person for interrogation. We have also recovered two Police rifles, one 9 mm pistol and one 7.65 mm pistol along with a large quantity of live cartridges and cash","Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A 30-year-old youth was reportedly beaten to death by suspected CPI-Maoist cadres in Bishunpur block in Gumla District.,Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A top CPI-Maoist who was LOS member of Maoist Rowghat Area Committee and carrying a reward of INR 500,000 on his head, surrendered before SIB in Raipur District of Chhattisgarh. ""The ultra identified as Satter alias Mangel alias Bharat Gavde who in past was the platoon commander of Naxal platoon number 23 was impressed with the surrender policy adopted by the Chhattisgarh Government and hence decided to join the mainstream of development,"" SP, SIB, Sundarraj P said. According to the Police, Satter (32), a resident of Alanar village under Amabeda Police Station of Kanker District had joined Naxal cadre in 2003. He had also worked as the member of 'Bal Sangham' the children unit of Maoists in 2002. Satter was involved in blowing up of a CISF vehicle in 2008 at Balod wherein three SF personnel were killed and their weapons were also looted, the SP said.","Maoist, Security",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CPI-Maoist cadres killed a person accusing him of being a 'Police informer' and disposed of the body at the adjacent Karampada in West Singhbhum District.,Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maoists explode bombs targeting the vehicle of an investigation team near Sonadeni in the Giridih District in which the driver of the vehicle is killed and two other members of the team are injured.,"Security, Government Officials",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Five CPI-Maoist cadres of the Galikonda dalam, including three women, surrendered before the Superintendent of Police Akun Sabharwal in Visakhapatnam.",Maoist,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Three CPI-Maoist cadres were arrested from Adhaura and Chainpur Police Station areas in Kaimur District. The CRPF's CoBRA battalion and the District Police raided Bahadag and Sirbit villages under Adhaura and Chainpur Police Station areas respectively and arrested the three. Nine firearms and eight rounds of ammunition were seized from them.,"Maoist, Security",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The Police and IB officials arrested Sidharth Mondal, an alleged CPI-Maoist cadre, and a West Bengal resident, from his hideout on the Thotapilly estate, around Myladumpara, near Santhanpara in Idukki District. Intelligence sources said Sidharth, a high ranking leader with the CPI-Maoist, had taken part in the Lalgarh action in West Medinipur District of West Bengal.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A CRPF jawan was seriously injured in a pressure bomb explosion allegedly triggered by Maoists, in the dense forest of Sukma District. The blast occurred when a jawan stepped on the pressure IED connection while SFs were cordoning off a forested patch at Rajpenta between Narsapuram and Jagargunda villages, about 450 kilometres away from Raipur, the official said.",Security,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Armed CPI-Maoist cadres assaulted five farmers for cultivating their land at Kada village in the Palamau District. The extremists also destroyed paddy and pulse which the farmers had planted. The Maoists had branded the five farmers as Police informers two years ago and ordered them not to cultivate the land located near the Sone river, Superintendent of Police Saket Kumar Singh said. Since then the farmers, who together own about 10 acres of land, did not dare to visit their land for fear of a Maoist attack, sources in the Husseinabad Police Station said. However, they resumed ploughing following last week's rains in the face of severe drought in Jharkhand, sources added.",Civilians,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"The Police unearthed a major arms dump, believed to be that of CPI-Maoist, in the Nallamala forest close to Sidhapuram tank near Atmakur in Kurnool District.",Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SFs stumbled upon and recovered a powerful can-bomb in Murhu-Arki border in Khunti District. The recovery was made when the SFs comprising of Khunti District Police and 60 Battalion of CRPF from adjoining West Singhbhum District stumbled upon an open wire, District SP Anish Gupta said. The explosive weighed 50 kg. The bomb was suspected to have been planted by PLFI - a splinter group of the CPI-Maoist.",Security,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Three CPI-Maoist cadres, including Jana Babu Rao alias Ashok (48), district 'central committee member' of Nallamalla range, Bharathi (38), wife of Ashok and Vimalakka (35), were killed in an encounter with a Police party in Nallamalla forest range at Kallagunta village in Yerragondabalem mandal of Prakasam District near Guntur District border.","Maoist, Security",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
