incident_summary,raw_output,true_armed_assault,pred_armed_assault,true_arrest,pred_arrest,true_bombing,pred_bombing,true_infrastructure,pred_infrastructure,true_surrender,pred_surrender,true_seizure,pred_seizure,true_abduction,pred_abduction
"Four suspected CPI-Maoist ""sympathisers"", identified as Sunaram Teta (30), Dharam Singh Korche (36), Atmaram Korram (30) and Baliram Korche (30), were arrested under Korar Police Station limits in Kanker District for their alleged involvement in torching of vehicles at a mining site in Korar region.","Arrest, Infrastructure",0,0,1,1,0,0,0,1,0,0,0,0,0,0
Two hardcore cadres of the CPI-Maoist were killed and two others arrested in an encounter with the Police in a forest area of the Bijapur District. Security force personnel had launched an operation following information that the Maoists were hiding in the forests of the Haloor valley in Bhairamgarh block. An unspecified quantity of arms and explosives were recovered from the arrested Maoists.,"Armed Assault, Arrest, Seizure",1,1,1,1,0,0,0,0,0,0,1,1,0,0
"The Warangal District Police recovered a cache of arms and ammunition belonging to the CPI-Maoist, including 11 weapons, 10 landmines and two claymore mines, 388 gelatine sticks, 972 detonators, 280 rounds of live ammunition, party literature and one medical kit, electrical wires, switches used in exploding landmines, during a week long combing operation in the forest areas of Eturunagaram, Mangapet and Kothaguda mandals of the District.","Seizure, Bombing",0,0,0,0,0,1,0,0,0,0,1,1,0,0
"Two suspected Maoists, identified as Mochi Lugun alias Mochi Munda (32) of Murusuan village and the woman cadre Munikshi Munda alias Muni (30) of Jhirpani in Sundargarh District, surrendered to the Police in Keonjhar District. The duos were operating in the Chhota Nagpur division of the CPI-Maoist.",Surrender,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Maoists abducted Kanai Nayek, (34), a worker of the ruling CPI-M, from his house in Barkola village, six kilometers from Lalgarh area of West Midnapore District in the night of August 31. There was no trace of Kanai till late in the night of September 1. ""We are searching the local jungles,"" said West Midnapore Police SP Manoj Verma. Some 50-armed men came to Kanai’s house and dragged him out, said a resident of Barkola village, adding, ""They tied his hands with a towel and took him away.""",Abduction,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"The Maoists shot dead a senior divisional officer of the State Government in Bijapur District after he was abducted, an official statement said. The bullet-ridden body of M.D. Gandhi, a sub-divisional officer with the water resource department, was found in a forested area in the District, the statement said. Gandhi was adducted at gun point by the Maoists on June 20 when he was en route to Bhopalpatnam area on a motorcycle.","Armed Assault, Abduction",1,1,0,0,0,0,0,0,0,0,0,0,1,1
"Armed Maoists set ablaze an election vehicle of All Jharkhand Students' Union candidate Vinod Kumar at Jashpur, 15 kilometres from Giridih town, in the morning after asking the occupants to run away and not to come again in the area.",Infrastructure,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Punem Saraiah, CPI-Maoist 'militia commander-in-chief' of Chhattisgarh and Andhra Pradesh, was arrested by the Bhadrachalam Sub-Divisional Police during a joint combing operation with CRPF personnel in the Kurnapalli forest area in Charla mandal in Khammam District of Andhra Pradesh. The Police recovered a stengun, ten bullets, a claymore mine and other explosive material from his possession.","Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,1,1,0,0
"The Maoists blew up a school building at Bhardaria village in Garhwa District, the second day of the Bharat bandh called by the CPI-Maoist in the State. A group of armed Maoists stuffed IED inside a room of a middle school in the village and triggered the blast, damaging a large portion of the structure, SP Michael S Raj said.","Bombing, Infrastructure",0,0,0,0,1,1,0,1,0,0,0,0,0,0
"A ""suspected"" Maoist, Markam Deva, who came to surrender at a Police Station in Bijapur District, fled with modern sophisticated weapons, senior officials said. According to Bijapur Police, Deva expressed his wish to surrender at the Basaguda Police Station and fled moments after being interrogated by officials. ""During the break in the interrogation, that we usually do for any rebel ahead of their surrender process, Deva, who claimed himself as a Maoist, fled from the thana carrying one AK-47, 90 live cartridges, one Under Barrel Grenade Launcher (UBGL) and around 10 grenades,"" Bijapur SP KL Dhruv said. There were at least 50 Policemen in the Police Station in the Maoist-affected area when the 23-year-old man escaped.","Surrender, Seizure",0,0,0,0,0,0,1,0,0,1,0,1,0,0
"The Police destroyed standing crop of opium spread over 10-acre land in Langurahi hillock under Madanpur Police Station in Aurangabad District. Acting on a tip off that the cadres of the CPI-Maoist had planted opium in forest land to raise funds, the Police visited the place and destroyed the crop, the SP Vivek Kumar said.","Infrastructure, Seizure",0,0,0,0,0,0,1,1,0,0,0,1,0,0
A CRPF trooper was killed in an encounter with CPI-Maoist cadres in Patharchhapra jungles of Giridih District. IGP Sanjay Anand Lathkar said the trooper's body was being brought to Pirtand in Giridih.,Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Manoj Ojha (40), General Manager (GM) of Reliance Power, was killed and seven other company officials were injured in an attack by the cadres of the TPC, a break away faction of the CPI-Maoist, near Hesatu village in Chatra District, around 100 kilometres from Ranchi. The team from the Anil Dhirubhai Ambani Group Company had arrived at Sidppa village in Tandwa tehsil in the District, at 10am to survey land for a project, the Police said.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SFs arrested a suspected CPI-Maoist cadre and recovered a cache of explosives from a hideout in Giridih District.,"Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,1,1,0,0
"An alleged arms supplier to the Communist Party of India-Maoist (CPI-Maoist), identified as Ravi Kumar Chevori, was arrested from Cyberabad near Hyderabad. He had entered into a deal with the Maoists to supply arms and ammunition worth INR 40 lakh, which the city Police seized on December 28, 2006, and arrested three persons.","Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,0,1,0,0
The Maoists raided Kanaudi village in Jamui District and killed three villagers.,"Armed Assault, Seizure",1,1,0,0,0,0,0,0,0,0,0,1,0,0
"Police seized about 50 country-made bombs from Mannesultan Palem village in Guntur District. Following the seizure, 20 persons were taken into custody for interrogation.","Seizure, Arrest",0,0,1,1,0,0,0,0,0,0,1,1,0,0
"Suspected CPI-Maoist cadres killed a businessman, identified as Bapi Samanta, at Dandabadi village under Boipariguda Police Limits in Koraput District.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tipila Hesa (17), a woman Maoist cadre, surrendered before the Police in Jajpur District.",Surrender,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Around 30 CPI-Maoist cadres went on a rampage setting ablaze six vehicles at Tekulagudem in Wajedu mandal of Khammam District near the Telangana-Chhattisgarh border.,Infrastructure,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"A mini gun factory was unearthed from Pinjani village under Kunda Police Station in Chatra District. Police arrested two persons, identified as Ramdhani Mistry (45) and Ram Chandra Mistry (30), repairing guns in the factory. Chatra Superintendent of Police (SP) Anup Birthary said five country-made guns, one pistol, three mobile phones, two cameras, firing pins and other machines were recovered from the spot. ""Those arrested are not Naxalites but they provide support to the rebels. The arrested are being interrogated,"" said the SP.","Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,1,1,0,0
"The 170th battalion of CRPF killed a Maoist cadre, identified as Kawasi Budhram, and recovered 23 detonators, tiffin-bomb, and ammunition of 315 bore rifle, muzzle gun, daily used items and 'pitthu' from Kachlaram area of Bijapur District.","Armed Assault, Seizure",1,1,0,0,0,0,0,0,0,0,1,1,0,0
"A CPI-Maoist cadre, identified as Hinsaram Muriya, a member of Bayanar Dalam, carrying a reward of INR 5,000 on his head was arrested from Mungwal village under Bayanar Police Station limits in Kondagaon District.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"A powerful IED, suspected to be planted by the Maoists, was recovered from Telengapada forest near Paiganda in Gajapati District.","Bombing, Infrastructure",0,0,0,0,1,1,0,1,0,0,0,0,0,0
The CPI-Maoist cadres attacked Security Forces who were trying to reconstruct a camp at Bhalukchira in the Sarenga Police station area in Bankura District. There were no casualties. There were reports that the firing was preceded by landmine explosions.,"Armed Assault, Bombing",1,1,0,0,1,1,0,0,0,0,0,0,0,0
"Two Naxals, identified as Chaitan Munda alias Langra and Budhram Lohra, were arrested by the Police in Khunti District. Besides 100 detonators, a pistol and four rounds of cartridge were also found during the raid.","Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,1,1,0,0
"The Police arrested two persons, including a village sarpanch for their alleged involvement in the landmine blast triggered by the CPI-Maoist on January 21 that claimed 13 lives, in Garhwa District. ""Bargarh village sarpanch Ramdas Minz and his aide Fida Hussain were arrested after we got evidence against them. They are charged under various Sections, like murder and criminal conspiracy,"" SP Michael S. Raj said.","Arrest, Bombing",0,0,1,1,0,1,0,0,0,0,0,0,0,0
0,None,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"An encounter took place between Maoists and the 18th battalion of ITBP troops between Belgaun and Kaneli area in Rajnandgaon District. A Maoist camp was destroyed but the Maoists managed to flee taking advantage of darkness. The ITBP personnel recovered one radio, one camera flash to be used for IED blast, empty cases of AK-47 and other articles.","Armed Assault, Seizure, Infrastructure",1,1,0,0,0,0,0,1,0,0,1,1,0,0
"CPI-Maoist cadres killed the father of a Policeman who was abducted from Chhattisgarh's Bijapur District, in December 2012.","Armed Assault, Abduction",1,1,0,0,0,0,0,0,0,0,0,0,0,1
"More than 50 armed cadres of the CPI-Maoist abducted Jhina Hikaka (34), a MLA from Laxmipur belonging to the ruling BJD from a hilly area between Koraput and Laxmipur in Koraput District.","Abduction, Armed Assault",0,1,0,0,0,0,0,0,0,0,0,0,1,1
Four CPI-Maoist cadres were arrested during a combing operation by BSF and District Force in the forests near Vala village under Koyalibeda Police Station limits of Kanker District.,Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Suspected cadres of the CPI-Maoist attacked Ganakkata village in Jhargram sub-division and killed three persons, identified as Sandhyarani Mahato, Rashbihari Mahato, Owahed Ali, in West Midnapore District.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"A top CPI-Maoist ‘commander’, identified as Kiran alias Sannu Potam (26), carrying reward of INR 500,000 and allegedly involved in Jeeram attack on May 2013 that killed top Congress leaders, surrendered with weapon before IG of Police Bastar range and SP in Dantewada District. Potam was active in Malangir area committee surrendered with his SLR, two magazine and 47 live cartridges, following which he will be given INR 800,000 including the reward amount on him and as part of Surrender cum Rehabilitation Scheme of State government.","Surrender, Seizure",0,0,0,0,0,0,0,0,1,1,0,1,0,0
"Cadres of the CPI-Maoist shot dead one CRPF trooper, Pitambar Kumar Singh, in his house at Ninder the Latehar District. Singh, who was posted at the Ghatsila sub-division in East Singhbhum District, was reportedly on leave.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Three Maoists were arrested from Sojanna village in Nalanda District.,Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"he District voluntary force, a wing of the Malkangiri District Police, arrested six cadres of the CPI-Maoist from Kondapalli forest area under the Motu Police station limits. The arrested include a Maoist doctor and an expert in writing Maoist literature. The arrested have been identified as Marian Mukta Madiam, Sariam Rama, Rama Prasad Sana, Dr Sujay Dafatar, Ranjit Sarkar and Karam Sita. Police recovered six detonators, 26 gelatin sticks, 100 meter wire, gun powder and some life-saving drugs from the arrested Maoists. Superintendent of Police Satish Kumar Gajbhiye said that the arrested Maoists were acting as couriers for Maoist leaders like Ashok and Jaga, attended Maoist meetings and extended logistics support to the movement.","Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,1,1,0,0
"Cadres of the CPI-Maoist kill four Police personnel, including the Officer in-Charge of Anandpur Police station, and decamped with their firearms in Banka District.","Armed Assault, Seizure",1,1,0,0,0,0,0,0,0,0,1,1,0,0
Cadres of the CPI-Maoist set off two landmines near Nakkapalli in GK Veedhi mandal (administrative unit) in Visakha Agency area (Vishakhapatnam district) in Andhra Pradesh.,"Bombing, Infrastructure",0,0,0,0,1,1,0,1,0,0,0,0,0,0
Security forces engaged the Maoists in an encounter near Satbahani river in the Chatra District.,Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"A retired school teacher, identified as Nargo Subhasundar (65), of Minjapanka village under Brahmanigaon Police Station limits was reportedly abducted and subsequently killed by the cadres of the CPI-Maoist in Kandhamal District. DIG R. K. Sharma said the dead body was recovered by the personnel of SOG.","Abduction, Armed Assault",1,1,0,0,0,0,0,0,0,0,0,0,1,1
A 50-year-old woman was injured when an IED planted by CPI-Maoist to target the Police exploded at a hill-top in Latehar District. The incident occurred when the woman went atop the hill at Kumandih to collect minor forest produce injuring her right leg.,"Bombing, Infrastructure",0,0,0,0,1,1,0,1,0,0,0,0,0,0
"Armed CPI-Maoist cadres stormed into the house of a tribal youth, identified as Sode Kannaiah, and subsequently shot him dead by branding him as a Police informer at Surakonda village of Chintur mandal in the Khammam District.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cadres of the CPI-Maoist set ablaze a truck on the National Highway No. 6 near Rajnandgaon.,Infrastructure,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"CPI-Maoist cadres kill a civilian, suspecting him to be a Police informer, at Etapalli in the Gadchiroli District.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Two constables of CRPF sustained injuries in an IED blast in Bijapur District of Chhattisgarh. The blast took place in Murdandha village falling in Awapalli Police Station limits in the morning, said Bijapur's ASP Indira Kalyan Elesela.","Bombing, Armed Assault",0,1,0,0,1,1,0,0,0,0,0,0,0,0
Gumla District Police arrested two PLFI cadres from two different locations of the District.,Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"The joint SF operating in the CPI-Maoist-affected West Midnapore District recovered a cache of arms belonging to the Maoists in an operation. ""Acting on a tip-off, a joint-team of the Central Reserve Police Force (CRPF) and the State Police conducted a raid in the forest area near Auspal village. Four firearms, 10 rounds of ammunition, two landmines and several explosive devices were recovered from the spot,"" Mukesh Kumar, ASP (Jhargram) said.","Seizure, Bombing",0,0,0,0,0,1,0,0,0,0,1,1,0,0
An encounter took place between the Police and CPI-Maoist cadres in Sakaul forest of Munger District.,Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"The Ranchi Police arrested six PLFI cadres, including PLFI 'leader' Aditya Kumar Gope from Pandra Bazar in the District. Gope was wanted in a number of cases registered with the Gumla Police; antecedents of his aides are yet to be verified. ""We suspect all five members of his group - Mantu Kumar Singh, Kundan Kumar Chandravanshi, Rahul Dayal, Vishal Kumar and Nadim Ansari -to have links with the PLFI,"" said city SP Ranjit Prasad. Gope was identified as a wanted criminal who was released on bail recently,"" Prasad said. The Police recovered one SUV and one stolen motorcycle from their possession.","Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,1,1,0,0
"Three Policemen were killed and two others injured as 20-odd cadres of CPI-Maoist attacked a Police team escorting the Patna-bound Sahebganj-Danapur Intercity Express near Jamalpur city in Munger District. After shooting the Policemen, the Maoists decamped with four rifles of the Policemen.","Armed Assault, Seizure",1,1,0,0,0,0,0,0,0,0,1,1,0,0
"Acting on a tip-off, Patna Police arrested a CPI-Maoist 'area commander', Gopal Paswan, from Daulatpur village under Bhagwanganj Police Station area in Patna District.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Eight extremists, including a Deruvada Area committee cadre of the CPI-Maoist, identified as Nimmaka Bangaraju (34), surrendered before Police at Parvathipuram in the Vizianagaram District. Bangaraju, a native of Kusa village in G. L. Puram mandal (administrative unit), was involved in several extremist activities.",Surrender,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CPI-Maoist cadres abducted and killed a couple at Vishnugarh in the Hazaribagh District on suspicion that they were Police informers.,"Abduction, Armed Assault",1,1,0,0,0,0,0,0,0,0,0,0,1,1
Armed Maoists set ablaze two tractors of a contractor in a village in Lakhisarai District. of Bihar.,Infrastructure,0,0,0,0,0,0,1,1,0,0,0,0,0,0
An exchange of fire took place between the Maoists and Police in the Tadvai forest area in Warangal District when a Police party combing the forest area spotted a group of Maoists.,Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"CPI-Maoist extremists triggered two blasts in West Champaran District targeting an office of the Forest Department in Ramnagar, a mine near Chamua railway station on the Narkatiaganj-Gorakhpur section under the Samastipur division of the East Central Railway.","Bombing, Infrastructure",0,0,0,0,1,1,0,1,0,0,0,0,0,0
Cadres of the CPI-Maoist killed the officer-in-charge of Motu Police station at a weekly market in the MV 88 village of Malkangiri District.,Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Two people were killed and 15 vehicles set ablaze at Ghat Pindari near Wadrafnagar in the Surguja District by the Maoists.,"Armed Assault, Infrastructure",1,1,0,0,0,0,1,1,0,0,0,0,0,0
"The CPI-Maoist cadres attacked the Special Operations Group (SOG) personnel in the forest near Gandima village Rayagada District, the Police said. ""The SOG team came under a volley of bullets from the Maoist guerrillas when they were going out to search a place. When the security forces retaliated, the attackers fled, leaving behind two rifles and ammunition. No injury has been reported so far,"" Muniguda Police station in-charge A.K. Mohanty said.","Armed Assault, Seizure",1,1,0,0,0,0,0,0,0,0,0,1,0,0
"A hardcore Maoist and three others were arrested from Piprahi in Sheohar District, Police sources said.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Five CPI-Maoist cadres were arrested at Samhauta village in Rohtas District. Acting on a tip off, the Police raided a hideout and arrested the five Maoists, identified as Rajesh Sharma alias Tufani, Mahendra Ram, Birendra Ram, Narendra Sharma and Amar Kumar. A rifle, a pistol, ammunition, Police uniform and a haul of Maoist literature were recovered from their possession.","Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,1,1,0,0
"Five Maoists surrendered before the Khunti Police in Khunti District. Khunti SDPO Ashwini Kumar said that Maoist Ranjit Bodra and PLFI cadre Sundar Pahan alias Nageshwar were in contact with Khunti SP Tamil Vanan and were convinced to surrender with two Maoists - Rohit Oraon and Narua Tirky of Nagri - whereas PLFI activist Arjun Singh surrendered with Pahan who was accused in many cases of arson, abduction and killing. Pahan was designated as area commander of the banned PLFI. The Naxalites also surrendered four single barrel guns, one 9mm pistol, live cartridges and five landmines weighing between 15-20 kilogrammes.","Surrender, Seizure",0,0,0,0,0,0,0,0,1,1,0,1,0,0
Around 25 to 30 armed Maoists set ablaze a liquor joint at Bansapal in Keonjhar District.,Infrastructure,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Suspected cadres of the CPI-Maoist shot dead a doctor, Dinesh Prasad, at Nauhatta in Sasaram, the headquarter town of Rohtas District.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"A top CPI-Maoist cadre, identified as Balabhadra Madhi (30), was arrested in the Malkangiri District. The Superintendent of Police Satyabrata Bhoi said Madhi was arrested during a combing operation by the CRPF and SOG in Salimarikuanda forest in Kalimela area while moving in a suspicious manner. During interrogation, it was found that Madhi is an 'area commander' of the Maoists.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Chhattisgarh Pradesh Congress Committee member Avdesh Kumar Gautam had a narrow escape near Nakulnar weekly market in the Dantewada District when Maoists opened fire on him but missed their target. Gautam, who is on the hit list of Maoists because of his close association with Salwa Judum leaders",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
One Special Police Officer (SPO) was killed in a bomb blast near Pamalvaya in the areas between Bijapur and Gangalur in the Bijapur District. The incident occurred when a SPO during a combing operation accidentally stepped on a bomb planted by the Maoists.,"Bombing, Armed Assault",0,1,0,0,1,1,0,0,0,0,0,0,0,0
"CPI-Maoist 'zonal commander' Bharat Lal Singh alias Bhanu, who carried a reward of INR 500,000 on his head, surrendered in front of DGP, D.K. Pandey at the State Police headquarters in Ranchi.",Surrender,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Two persons, a truck driver and a cleaner, identified as Heeralal Oraon (30) and Nilesh Oraon (26) respectively, were killed and four labourers - Ashok Oraon, Sureshwar Oraon, Sameer Oraon and Upendra Oraon - sustained injuries when they were caught in an encounter between SF personnel and CPI-Maoist cadres at Marwai village under Bishunpur Police Station limits in Gumla District of Jharkhand.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"A former Salwa Judum leader, identified as Bodhiram Machhi (55), was killed by Maoists in Bijapur District.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Around 50 armed Maoists set ablaze five tractors at Jogiya village of Khairabind panchayat in Aurangabad District.,Infrastructure,0,0,0,0,0,0,1,1,0,0,0,0,0,0
A joint team comprising CRPF and Special Task Force (STF) personnel raided Akurauni forest area in the Gaya District and neutralised a bunker of the CPI-Maoist. The raid was conducted on the basis of information provided by the Maoist leader Chandu Das who was arrested from Jhallar village in the District in the early hours on the same day.,"Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,0,1,0,0
"A Maoist, identified as Inderadeo Prasad, was arrested by the Police from Ujhilpur village in Rajepur Police Station in East Champaran District. Inderadeo was wanted in connection with several murder cases in the District.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"CPI-Maoist cadres damaged a new building, which was to become a Police Station in Aurangabad District.",Infrastructure,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Acting on a tip-off, Police arrested Umesh alias Radheshyam Yadav and Laldas Mochi alias Mukesh, both cadres of the CPI-Maoist in Patna District.",Arrest,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Maoists killed two villagers in Bijapur District suspecting them to be Police informers.,Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Maoists blocked the road by putting boulders and trees in the Antagarh area of Kanker District,None,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"The combing operation to arrest RK, in the Andhra Pradesh Odisha border region, will continue, said Malkangiri SP Mitrabhanu Mahapatra. Maoist literatures, 500 bags of rice and grenades have been recovered from the encounter site.","Arrest, Seizure",0,0,0,1,0,0,0,0,0,0,1,1,0,0
"Maoists kill a civilian, Krishna Paswan, near Satwat village in the Aurangabad District.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"CPI-Maoist cadres shot dead a civilian, Boya Kadireppa, at Bandameedipalli village in the Rapthadu area of Anantapur District.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"While fleeing, the Maoists planted a five kg ‘cane-bomb’ under the culvert of the approach road. A Police team on December 9 recovered the ‘cane-bomb’.","Bombing, Infrastructure",0,0,0,0,1,1,0,1,0,0,0,0,0,0
"Maoist cadre Anil Manjhi was arrested from Bhangalwa village in Munger District, DSP, Jamalpur, Ranjan Kumar said. Manjhi was wanted in connection with several cases of Maoist violence including, the DSP said.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"A group of men, suspected to be CPI-Maoist cadres, torched a vehicle carrying mid-day meal for school children and ate the food before taking away the containers at Ijurupa under Lanjigarh Police Station limits in Kalahandi District.",Infrastructure,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"The SF personnel recovered huge quantities of explosives dumped by CPI-Maoist during a combing operation from a forest in Koraput District. According to Police, at least 282 gelatin sticks each weighing 125 grams, 10 bundles of live wires, 28 tiffin boxes used to make landmines, among other Maoist belongings, were found in a forest under Macchkund Police limits. The explosives were dumped in the forest in a plastic drum.","Seizure, Bombing",0,0,0,0,0,1,0,0,0,0,1,1,0,0
"The CPI-Maoist cadres shot dead a cadre of the TPC, a splinter group of CPI-Maoist, at Baratetrai village under Nabinagar block of Aurangabad District. The slain TPC cadre was identified as Anil Ram. Police said Ram belonged to Rambigha village under the Japla Police Station in Jharkhand.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Suspected CPI-Maoist cadres fired on the Dhanbad-Jhargram passenger train at Kokpara Station in East Singhbhum District. At least four-five unidentified assailants attacked the train at about 10 pm and fired several rounds before fleeing with three walkie-talkie sets from the train driver, guard and Station Master of Kokpara, about 80 km south east from Jamshedpur on Howrah-Mumbai main line. Kokpara falls under Kharagpur Division of South Eastern Railway. ""Train movement has normalised as we escorted out the passenger train from Kokpara. There's no casualty but they have looted three wireless sets. It's still not clear who these miscreants were but we're investigating the incident,"" Anoop T Matthew, Jamshedpur's SSP said.","Armed Assault, Seizure",0,1,0,0,0,0,1,0,0,0,0,1,0,0
"A CPI-Maoist leader was arrested in connection with the attack on a Police party which killed five Policemen in the Jamui District on August 22, Police said on August 30. Acting on a tip-off, Police raided a place at Sono Bazaar in Jamui in the evening of August 29 and arrested CPI-Maoist leader Mustkeen Ansari, the Additional Director General of Police (Headquarters) Neelmani said. Ansari has revealed vital information about the attack, he claimed.","Arrest, Armed Assault",0,1,1,1,0,0,0,0,0,0,0,0,0,0
"An 'area commander' of the CPI-Maoist, Nunulal Soren a.k.a. Kawang Da, wanted in connection with several cases, was shot dead by the security forces at Jamdaha village in Giridih District. Central Reserve Police Force and Jharkhand Police personnel had earlier surrounded his house after getting specific information about his presence.","Armed Assault, Arrest",1,1,0,1,0,0,0,0,0,0,0,0,0,0
"A 13-year-old sympathiser of the CPI-Maoist, identified as Baburm Kisku, was arrested on an unspecified date from Khadimba village in the Dumka District.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The STF of the Kolkata Police arrested top CPI-Maoist leader Vikas and his wife Tara alias Thakurmani Hembram from Kolkata of West Bengal.,Arrest,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"A CPI-Maoist cadre, Kandara Darai, surrendered before the Superintendent of Police Sanjaya Kumar Kausal and District Collector Jamil Ahmed Khan at Kamakhyanagar in the Dhenkanal District.",Surrender,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"CPI-Maoist cadres killed two tribals, identified as Deba Padiami (30) and Ganga Madkami (45), suspecting them to be 'police informers', at Badliguda village under Kalimela Police Station limits in Malkangiri District.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"A self-styled 'commander' of CPI-Maoist, identified as Naresh Paswan, was arrested from Kadhautia Bazar under Shikarganj Police Station area in East Champaran District.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
A 30-year-old youth was reportedly beaten to death by suspected CPI-Maoist cadres in Bishunpur block in Gumla District.,Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Three Maoists, including a couple were arrested from separate locations in Dantewada District, Police informed.",Arrest,0,0,1,1,0,0,0,0,0,0,1,0,0,0
CPI-Maoist cadres killed a person accusing him of being a 'Police informer' and disposed of the body at the adjacent Karampada in West Singhbhum District.,"Armed Assault, Abduction",1,1,0,0,0,0,0,0,0,0,0,0,0,1
The Maoists blew up two mobile towers at Madanpur and Rafiganj in Aurangabad District.,"Bombing, Infrastructure",0,0,0,0,0,1,1,1,0,0,0,0,0,0
"Five CPI-Maoist cadres of the Galikonda dalam, including three women, surrendered before the Superintendent of Police Akun Sabharwal in Visakhapatnam.",Surrender,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Two CPI-Maoist cadres were killed in a fierce gunbattle with SFs personnel near Bade Telma village forests under Maraigudi Police Station in Sukma District.,Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Two CPI-Maoist cadres, Rajendra Singh Bhokta and Lalji Yadav, were arrested by a Police team from Hazaribagh District following tip-off. Two firearms with cartridges, Maoist literature and medicines were recovered from them.","Arrest, Seizure",0,0,1,1,0,0,0,0,0,0,1,1,0,0
"The Police and IB officials arrested Sidharth Mondal, an alleged CPI-Maoist cadre, and a West Bengal resident, from his hideout on the Thotapilly estate, around Myladumpara, near Santhanpara in Idukki District. Intelligence sources said Sidharth, a high ranking leader with the CPI-Maoist, had taken part in the Lalgarh action in West Medinipur District of West Bengal.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"A CRPF jawan was seriously injured in a pressure bomb explosion allegedly triggered by Maoists, in the dense forest of Sukma District. The blast occurred when a jawan stepped on the pressure IED connection while SFs were cordoning off a forested patch at Rajpenta between Narsapuram and Jagargunda villages, about 450 kilometres away from Raipur, the official said.","Bombing, Armed Assault",0,1,0,0,1,1,0,0,0,0,0,0,0,0
