incident_summary,total_fatalities,first_action,incident_number,count_bin
"Three persons, including a Police personnel was killed and another was injured during a 24-hour bandh called by the CPI-Maoist in Bihar. Police sources said that the armed Maoists set ablaze six trucks and two buses on the Grand Trunk (GT) Road and seven trucks at another place in the Gaya District. Encounter between the Maoists and the Special Auxiliary Police (SAP) personnel occurred on the GT Road resulting in the death of a SAP personnel, a private bus driver and the helper of the bus. Another injured truck driver was subsequently hospitalised in Gaya. The Maoists took some passengers of a bus hostage while retreating, but later released them.",3,Armed Assault,209230701.0,3-5
"A Special Auxiliary Police (SAP) trooper was killed and three others were injured in an ambush by suspected CPI-Maoist cadres in the Rohtas District. The Maoists exploded a landmine near Koriarighat in Kaimur Hills when the SAP contingent comprising ex-servicemen was returning after an encounter with the Maoists. The blast badly damaged the vehicle carrying the personnel. Before the security personnel could take position, the Maoists opened fire on the security forces killing constable Kanhaiya Singh on the spot.",1,Armed Assault,209240801.0,1
"One Anil Sharma, son of Damodar Sharma of village Dhamna under Jhajha Police Station in Munger District, was shot dead by suspected CPI-Maoist cadres. His body, with both hands tied with a red towel, was found near a culvert. ""Police found two empty cartridges near his body,"" said a source. Jhajha, SHO, Niraj Kumar Thakur said, some pamphlets written by the suspected Maoists were also found near the body. The killers alleged that the deceased was collecting levy in the name of Maoists and he was 'sentenced to death' for defaming the organization. ""There were injury marks on his head and leg,"" he said. Sources said Anil was spying for police against the Maoists. ""The Maoists suspected him of spying on them and killed him. To confuse the police, they wrote pamphlets accusing him of collecting levy in their name,"" a Police source said.\",1,Armed Assault,209251601.0,1
"Train services on Raxaul-Sitamarhi route halted for over 12 hours following recovery of an IED on the railway track near Ghorasahan railway station of the East Central Railway's Raxaul-Darbhanga section in East Champaran District. Superintendent of Raxaul station BNP Srivastav said the IED was probably planted by the CPI-Maoist. ""An alert was sounded and movement of trains suspended soon after recovery of the IED,"" Srivastav said. In 2010, two bogies of a goods train were blown up in an IED blast triggered by Maoists on the same track. According to railway sources, RPF officials from Raxaul rushed to the spot along with Police and BDS. The bomb was finally defused and train services resumed after thorough checking of tracks. SP of Raxaul, Jitendra Rana said a probe had been ordered into the recovery of the IED.",0,Bombing,210011601.0,0
"CPI-Maoist cadres shot dead a civilian, identified as Uday Ram, at Nageshwar village in the Palamu District.",1,Armed Assault,210030601.0,1
"Suspected CPI-Maoist cadres shot dead the OIC of a Police Station in Gaya District. DIG of Police Saurabh Kumar said three motorcycle-borne suspected Maoists fired four bullets at the OIC of Kotchi Police Station Quuam Ansari killing him on the spot. The OIC was on a morning walk when the assailants attacked him, the DIG said.",1,Armed Assault,210031601.0,1
"CPI-Maoist cadres detonated a cane bomb - a trademark IED used by them - to blow up a vehicle, killing all its seven occupants near Pathara village in Aurangabad District.",7,Bombing,210171301.0,6-10
"According to the Gaya Superintendent of Police Sushil Khopde, the Police received a tip-off about extremists organising a training camp in the forests. The Security Forces were rushed to the forested area and a gun battle ensued. Khopde said though no actual count of ammunition was made, SFs are believed to have fired more than hundred rounds forcing the extremists to retreat. No casualty was reported on either side, he added.",0,Armed Assault,210210904.0,0
Five Police personnel were killed on the spot and another injured when the cadres of the CPI-Maoist triggered a landmine blast in Sheohar District,5,Bombing,210221001.0,6-10
"Later, a fierce gun battle broke out between the Maoists and Police. According to reports, over 100 Maoists were present at the location and engaged with the Police personnel.",0,Armed Assault,210241002.0,0
"Over 45 heavily-armed cadres of the CPI-Maoist set ablaze three campaign vehicles at Badakihathiya in Munger District. The Maoists stopped the vehicles belonging to RJD, Congress and Janvadi Samajwadi Party in a forest area, pulled the occupants out and assaulted them before setting ablaze the vehicles. The vehicles were used for campaigning by party candidates for Tarapur Assembly constituency in Bihar, which would go to poll in the fourth phase on November 1.",0,Armed Assault,210261001.0,0
"Armed cadres of the CPI-Maoist blew up a road bridge at Rohe village in the Gaya District, Police said on November 5. Around 50 Maoists assembled in the village in the night of November 4 and detonated dynamites to blow up the bridge. The road link to Imamganj bazar was severed as a result.",0,Bombing,211040901.0,0
"Police arrested six cadres of the CPI-Maoist after a gun-battle and seized arms, explosives and other materials used for making weapons in Suarmanwa forests in Rohtas District.",0,Armed Assault,211101101.0,0
"Approximately a thousand cadres and activists of the CPI-Maoist launched simultaneous attacks on the jail, Police lines and a paramilitary camp at Jehanabad, killing four persons and injuring five others. Two Maoists were also killed in the incident. 341 of the jail's 600 odd prisoners, several other cadres of the outfit were set free and approximately 12 activists of the Ranvir Sena, were abducted",6,Armed Assault,211130501.0,6-10
Cadres of the CPI-Maoist killed nine of the Ranvir Sena hostages they had abducted from the Jehanabad District jail on November 13.0,9,Armed Assault,211140501.0,6-10
"Armed cadres of the CPI-Maoist killed a village chowkidar (guard) by slitting his throat at Badaki Hathia village in the Munger District. Around 50 Maoists raided the village, captured the chowkidar and took him to an isolated place and killed him, the Police said.",1,Armed Assault,211160901.0,1
"A BMP constable and a home guard were killed and nine others, including three journalists of private TV channels, injured when a landmine went off",2,Bombing,211201001.0,2
"Four armed cadres of the CPI-Maoist shot dead two employees of Narayanpur princely estate, identified as Ranjit Sah and Arun Sah, in East Champaran District.",2,Armed Assault,211251001.0,2
"Cadres of the CPI-Maoist blew up a Government school building in the Aurangabad District, Police said. Heavily-armed Maoists numbering around 25 surrounded the building at Poha village in the District and detonated dynamites to blow it up late in the night of December 16, the Superintendent of Police Nishant Tiwari said.",0,Bombing,212160901.0,0
"One Government Railway Police (GRP) personnel, identified as Ganesh Singh, was shot dead while a woman passenger and other GRP personnel were injured when at least 30 suspected cadres of the CPI-Maoist attacked a coach of the Bhagalpur-Muzaffarpur Inter-City Express between Abhoypur and Kajra stations in the Munger District. The assailants also snatched away four assault rifles, a carbine and several rounds of ammunition by overpowering the GRP personnel.",1,Armed Assault,212250802.0,1
"The CPI-Maoist cadres blew up a State run school building at Birhni village in the Aurangabad District, Police said. Over 200 extremists surrounded the school building and detonated dynamites to blow up the school building. Four rooms of the school collapsed in the blast, the Police said.",0,Bombing,212270901.0,0
"Armed cadres of the CPI-Maoist detonated dynamites to blow up a school building at Jurati village in the Aurangabad District. Around 200 extremists surrounded the State-run school and triggered blasts partially damaging its building, Police said. A Police patrol soon arrived and engaged the extremists in an encounter for more than two hours. Police recovered two can bombs, cable wires and several Police uniforms besides Naxal literature from the spot.",0,Bombing,212290901.0,0
A Maoist was killed in an exchange of fire between a team of DRG and Maoist cadres in the forested hill of Korli under Mardum Police Station limits in Bastar District.,1,Armed Assault,302041602.0,1
Cadres of the CPI-Maoist fought gun battles with the Police at three separate locations in Bastar region,0,Armed Assault,303221001.0,0
"Several CPI-Maoist cadres were injured in an encounter with Paramilitary Forces in Bhanupratappur area in Kanker District. However, the Police source said no BSF personnel were injured in the attack.",0,Armed Assault,304021201.0,0
"Seven powerful IEDs, allegedly planted by Maoists, were recovered in Dantewada District. A team of CRPF's 111th and 230th battalions and the local Police recovered the explosives in a forest between Aranpur and Kondapara, a senior Police said. Based on inputs provided by Sukka Ram Mandavi, a Maoist cadre arrested last week, SFs launched a de-mining exercise on the route and spotted IEDs planted at various locations.",0,Bombing,304241601.0,0
"CPI-Maoist cadres killed Rajkumar Nayak, an activist of the 'Salwa Judum', (anti-Maoist vigilante group), under Mirtur Police station in Bijapur District.",1,Armed Assault,305021001.0,1
About 150-armed Maoists attacked a Police station at Durg Kondal in the Kanker District.,0,Armed Assault,306120602.0,0
"Three civilians, Santu Yadav, B. L. Baghel and Triveni Dewangan, were injured in a ‘pressure-bomb’ explosion triggered by the CPI-Maoist cadres at Barhibeda village in the Narayanpur Police District.",0,Bombing,306180702.0,0
"Maoists killed a man, Vimal Meshram, in a busy weekly market near Lohandiguda village in Bastar District for his support of a mega Tata Steel project. Meshram, an influential tribal leader, was the president of Lohandiguda janpad panchayat (village council).",1,Armed Assault,306190901.0,1
"The Maoists shot at a Policeman and his son, injuring both critically, in Bastar District. Assistant Sub-inspector of Police (ASI) Prakash Shukla (52) and his son Punit (21) were riding a motorbike to Mardum when they were attacked.",0,Armed Assault,307041201.0,0
Another encounter took place between the SFs and the Maoists in the forests of Amapayli in Rajnandgaon District.,0,Armed Assault,307091402.0,0
"A CPI-Maoist cadre was killed during an exchange of fire with SFs personnel in the dense forest of Bastar District. The skirmish took place while a joint team of DRG and STF was conducting anti-Maoist operation in the core jungle of Mardoom Police Station area, Bastar SP R.N. Dash said.",1,Armed Assault,308111601.0,1
"The CPI-Maoist cadres killed one of their supporters after producing him before a jan adalat in Sukma District. The Maoists were unhappy with the victim, Sandeep Kumar Rathore, for abandoning their cause, a Police officer said. ""Rathore was this evening shot dead by armed rebels in the forests near Mukram nullah under Chintalnar Police Station limits,"" S.R.P. Kalluri, IGP (Bastar Range) said. ""As per records, he was a staunch supporter of Maoists but for the last few months he had started distancing himself from the banned outfit. He had joined the mainstream and was leading a normal life,"" the IGP added.",1,Armed Assault,308261601.0,1
A Company Commander of Chhattisgarh Special Task Force (STF) Lav Bhagat and a Constable Shiv Kumar were killed in an encounter with Maoists near Harra Koder village under Mardum Police Station area of Bastar District. Bodies of two women Maoists have also been recovered from the spot.,4,Armed Assault,308271301.0,3-5
"CPI-Maoist cadres killed a former deputy Sarpanch in the forests near his village, Burgum in Bastar District. The former deputy Sarpanch, Sohan Mandavi (28) was suspected by Maoists to be a Police informer.",1,Armed Assault,309051301.0,1
"SFs defused a tiffin bomb recovered near Tongpal region in Bastar District. The bomb disposal squad diffused the bomb while SF personnel recovered one detonator, one set of tool box, Maoist literature and other stuff from the spot.",0,Bombing,309081602.0,0
A Constable - Manaru Ram Banjam - was killed by CPI-Maoist cadres in Bastar District. The incident took place at Burgum village under Burgum Police Station limits during evening hours when the victim was attending prayer in a temple.,1,Armed Assault,310011501.0,1
"12 Para-military personnel belonging to the CRPF were killed and six others injured in an ambush by the CPI-Maoist extremists near a forest village between Modupal and Kompalli in the Bijapur District. Bijapur SP Ankit Garg said the incident took place around 1.30 pm when CRPF men patrolling the area were moving towards the Modupal base camp. They were attacked by large number of Maoists who first set off an explosion and then opened fire. Police sources said three security personnel were killed in the blast while nine others were killed in the firing that followed. A Maoist was killed when the CRPF personnel returned fire. Maoists also escaped with weapons of the dead and injured personnel, including an Ak-47 assault rifle, two SLRs, a light machine gun and INSAS rifles.",13,Bombing,310200801.0,10+
"A Policeman, Tikeshwar Sandilya, was killed and another injured in a landmine blast triggered by cadres of the CPI-Maoist during the re-polling near Bintaghati in the Bastar District.",1,Bombing,311240801.0,1
"Three Police personnel were killed and another wounded when armed cadres of the CPI-Maoist attacked the Bishrampur Police station in the Bastar District. ""Over 50 armed Naxalites came in four vehicles to Bishrampur Police station on Wednesday night and opened indiscriminate firing and then triggered multiple landmine blasts,"" said the Bastar Range Inspector General of Police (IGP), Rajinder Kumar Vij. The extremists later exploded three land mines and blew up the Police station.",3,Armed Assault,312120701.0,3-5
"CPI-Maoist cadres killed a village headman, Chintanpalli, in the Dantewada District when he was returning from a weekly market.",1,Armed Assault,312150501.0,1
"Around 299 prisoners, including 105 Maoists, escaped from the Dantewada jail after overpowering the security guards. Three security guards and two undertrial prisoners were reportedly injured during the clashes. Maoist commander, identified as Sujit Kumar, overpowered a jail guard inside the prison and opened fire after snatching his rifle. As many as 377 inmates were lodged in the District prison. The Maoists also snatched two .303 rifles, three muskets and one wireless set from the guards before escaping, Home Minister Ram Vichar Netam told. Rahul Sharma, Superintendent of Police in Dantewada, said the jail break was a ""pre-meditated conspiracy"" hatched by the undertrials, who were mostly Maoist supporters.",0,Armed Assault,312160701.0,0
"At least seven CPI cadres, including a Panchayat representative, were injured in a clash with the Salwa Judum activists in the Dantewada District. The incident occurred near Dornapal when the CPI leaders and workers were returning from Cherla in neighbouring Andhra Pradesh after attending a meeting against the Salwa Judum and Maoist threat.",0,Armed Assault,206030701.0,0
"Two bombs of 40 kilograms each were recovered from Bastar region. Officials at Police headquarters said the bombs were placed on a forested road in Awapalli area of Bijapur District, 500 kilometres from State capital Raipur. The Police suspect that CPI-Maoist cadres placed the bombs to target a convoy of the Police and Paramilitary Forces which was expected to cross the road.",0,Bombing,301011201.0,0
"A heavily armed group of CPI-Maoist cadres killed a former intelligence unit 'chief' of the Maoists, identified as Shivaji Korsa at Kottapal village in Bijapur District, who had surrendered before Police in 2012.",1,Armed Assault,301011501.0,1
"Two CPI-Maoist cadres were killed and three others arrested in Kutul area of Abujhmarh in Narayanpur District. ""The District Reserve Guard (DRG) of Narayanpur District Police recovered two dead bodies of uniformed Maoists and apprehended three Maoists during an anti-Maoist operation in Kutul area of Maoists' undeclared capital Abujhmarh today. Seven weapons, including a 303 rifle, were recovered,"" said IGP, Bastar Range, S.R.P. Kalluri.",2,Armed Assault,301011601.0,2
A Sarpanch of Mankeli village in Bijapur District of Chhattisgarh was allegedly stabbed to death by CPI-Maoist cadres in Nayapara locality of Bijapur District headquarters.,1,Armed Assault,301021301.0,1
"A Policeman, identified as Assistant Constable Somlu Hemla (30), was killed by suspected CPI-Maoist cadres with bow and arrow at Patliguda village in Bijapur District of Chhattisgarh.",1,Armed Assault,301021501.0,1
"Five tribals were killed in separate attacks by the CPI-Maoist cadres in the forested stretches of Bijapur District. The dead bodies were found dumped on roadsides along the national highways connecting Bijapur-Bhopalpattanam and Bijapur-Geedam in the Dantewada District. ""All the deceased are male and tribals. They were killed with sharp edged weapons,"" said Ankit Garg, Bijapur District Superintendent of Police (SP).",5,Armed Assault,301030901.0,6-10
"Two troopers belonging to 206 Combat CoBRA unit were injured when a pressure bomb planted by CPI-Maoist exploded, during a combing operation by the CoBRA troopers, in the forests under Chintagufa Police Station limits in Sukma District.",0,Armed Assault,301031501.0,0
Two cadres of the CPI-Maoist were killed in an encounter with the Police in Erka forested area in Narayanpur District.,2,Armed Assault,301041101.0,2
"Five powerful IEDs allegedly planted by CPI-Maoist, were recovered from an under-construction route in Dantewada District. Out of the five IEDs seized, two weighed about 10 kilograms each, while the others were around 5-7 kilograms each.",0,Bombing,301041601.0,0
The CPI-Maoist cadres attacked Police personnel engaged in a combing operation near Cherpal in the Bijapur District. Another group of Maoists attacked Police personnel near Kotrapal. No casualty was reported in either of these incidents.,0,Armed Assault,301050801.0,0
The CPI-Maoist cadres killed a tribal civilian on suspicion of him acting as a Police informer in the Dantewada District.,1,Armed Assault,301051001.0,1
"CPI-Maoist cadres stormed the residence of Chhattisgarh Congress leader Manturam Pawar and attacked his guards, injuring two of them at Pakhanjur in Kanker District.",0,Armed Assault,301051501.0,0
A group of SFs personnel had a close save as Maoists detonated a powerful pipe bomb blast in Bijapur District. No one was injured in the blast. The Maoists exploded the pipe bomb near Tarrem village under Basaguda Police Station limits when a team of CoBRA personnel was patrolling in the region.,0,Bombing,301051604.0,0
"G. S. Marawi, the Additional Superintendent of Police (Dantewada) and a Special Police Officer, Bhunesh, sustained serious injuries when they stepped on a pressure-mine planted by the Maoists.",0,Bombing,301061001.0,0
"Bhima Rao (40), a tribal of Rewali village in Dantewada District, was killed by 'unidentified persons.' Police had registered a case against ""unknown, uniformed and armed Maoists"" for killing Bhima on suspicion that he was a 'Police informer'.",1,Armed Assault,301061501.0,1
"Police in the Kanker District claimed to have killed seven hardcore CPI-Maoist cadres following a raid on a camp of the outfit in a forested area under Koyalibera Police station. Pawan Deo, Deputy Iinspector General of Police (Kanker range) told, ""We found heavy blood stains at the encounter site and enough evidence that rebels' bodies have been carried deep inside the forest during the 90-minute fierce gun battle."" The Police recovered three rifles, 36 detonators, four bundles of wires used for landmine blasts, pipe bombs, tiffin bombs, Maoist uniform and literature.",7,Armed Assault,301070801.0,6-10
"The CPI-Maoist cadres attacked two vehicles of Police personnel near Narsampuram in the Dantewada District. However, no causality was reported.",0,Armed Assault,301070802.0,0
"In two separate incidents, four persons, including three SPOs, were killed by the Maoists in Bijapur District. SP J.S. Watti said suspected left-wing extremists had killed three persons, including two SPOs, in Aramangi village and one SPO in the Belchar village. According to him, the CPI-Maoist cadres are increasingly targeting Policemen and SPOs in Bijapur District ""out of desperation."" He added ""They are selectively killing Police and SPOs to create a reign of terror in the District as we have eliminated 11 hardcore Naxalites in recent months.""",4,Armed Assault,301070902.0,3-5
"Three Police personnel, including a Sub-Inspector, are killed when CPI-Maoist cadres open fire on a Police party at Ramchandrapur village in the Surguja District.",3,Armed Assault,301080501.0,3-5
"Four cadres belonging to the CPI-Maoist, including two women cadres, were killed during an encounter with the Police in the Chhinari forest area under Chhote Dongar Police station in the Narayanpur District.",4,Armed Assault,301080701.0,3-5
"15 cadres of the CPI-Maoist were killed and three SPOs were injured during an encounter in the forest areas of Gollapalli of Dantewada District. The encounter took place when the SFs opened fire on a group of armed Maoists during a search operation. ""It's a big success. The Police are trying to capture several rebels alive who received bullet wounds in the gun battle and are attempting to run away under the cover of darkness,"" said Rahul Sharma, the District SP. The Police also recovered a large cache of arms and ammunition from the encounter site.",15,Armed Assault,301080901.0,10+
Another Maoist was shot dead by the Police in the Mankedi forest area of Bijapur District.,1,Armed Assault,301080902.0,1
"A villager is killed and another sustained injuries when a bomb, hidden in a transistor by the Maoists, exploded at Bhairamgarh in the Dantewada District.",1,Bombing,301090601.0,1
"One CPI-Maoist cadre, identified as Bako Maso, was killed during an exchange of fire between Police personnel and the extremists in the forest near Dalmer village under Bhairamgarh Police station limits of Bijapur District. The Maoists attacked the Police personnel who were combing the area and fled as Police opened fire. Police subsequently recovered the dead body of the Maoist along with a 12.bore rifle, one tiffin bomb and explosives from the encounter site",1,Armed Assault,301090801.0,1
Four CPI-Maoist cadres were killed in an encounter with a Police party comprising the CoBRA and the Koya Commandos in Dantewada District.,4,Armed Assault,301091001.0,3-5
"A Police Constable, identified as Shankar Joshi, was hacked to death by CPI-Maoist cadres near a busy market place in Katekalyan town of Dantewada District.",1,Armed Assault,301091501.0,1
A Police constable was killed and three others were grievously injured in an encounter with the CPI-Maoist near Botha village under Hawrai Police Station in Narayanpur District.,1,Armed Assault,301101501.0,1
The SFs shot dead three CPI-Maoist cadres during an encounter in the Bijapur District.,3,Armed Assault,301111001.0,3-5
One SPO was killed in an encounter between the Chhattisgarh Police and the cadres of the CPI-Maoist in a forested pocket of Bijapur District.,1,Armed Assault,301111101.0,1
A 45-year-old man was killed by suspected cadres of CPI-Maoist in Bijapur District of Chhattisgarh.,1,Armed Assault,301111301.0,1
"Two CPI-Maoist cadres, including a woman 'commander', were killed in a joint operation of Chhattisgarh and Maharashtra Police in Bijapur District. One of the dead Maoists has been identified as Mangi, the LOS 'commander' of national park area committee of the Maoists in West Bastar and she carried a reward of INR 500,000 on her head. One more dead body of a uniformed Maoist was recovered when the forces were returning to the base camps in Maharashtra.",2,Armed Assault,301111601.0,2
"A Police Constable was injured in an encounter with the CPI-Maoist cadres under Tongpal Police Station limits in Sukma District. The exchange of fire took place when a joint team of State DRG and STF was carrying out an anti-Maoist operation in the region, Sukma ASP Santosh Singh said. While the SFs were cordoning off a forest axis at Kunna, a group of Maoists opened fire on them following which an encounter broke out between the two sides.",0,Armed Assault,301121601.0,0
SFs were locked in a gun battle with Maoists near Kaligudam village in Sukma District of Chhattisgarh.,0,Armed Assault,301131301.0,0
"Two school students, identified as Rameshwar Oyam (18) and Vishal (16), were injured in a landmine blast suspected to be planted by the CPI-Maoist cadres in Bijapur District. The explosion took place while the students were travelling on a motorcycle towards Tarrem village from Sarkeguda under Basaguda Police Station limits, Bijapur ASP Indira Kalyan Elesela said.",0,Bombing,301131601.0,0
"Five CRPF personnel were wounded in an ambush by armed Maoists in a forest in the Narayanpur District of Chhattisgarh. About 150 Maoists attacked a joint Police party of the CRPF and District forces when the security force personnel were on a de-mining and area dominance operation in the Jharghati jungle, about 350 kilometers from State capital Raipur, the District Superintendent of Police Ajay Yadav said.",5,Armed Assault,301140802.0,6-10
Two CPI-Maoist cadres were killed in a gun battle in the Dantewada District.,2,Armed Assault,301151001.0,2
"Four CPI-Maoist cadres were killed in an encounter with the DRG of Bijapur District. ""A small team of the DRG Bijapur District, numbering about 50 men, had a successful encounter with the Maoists at village Pedda Jojer under Gangaloor Police Station limits of Bijapur today morning. The DRG team managed to recover dead bodies of four Maoists along with four Bharmars (locally made guns), local grenades and Maoist dump,"" informed Bastar IGP S.R.P. Kalluri.",4,Armed Assault,301151601.0,3-5
Seven Central Reserve Police Force (CRPF) personnel were killed in an Improvised Explosive Device (IED) blast in the Kanker area of Bastar District. A team of 30 CRPF personnel were on a joint patrol when the explosion occurred.,7,Bombing,301160701.0,6-10
"CPI-Maoist cadres killed the father of a Policeman who was abducted from Chhattisgarh's Bijapur District, in December 2012.",1,Armed Assault,301171301.0,1
"A jawan of the STF, identified as constable Mahendra Singh was killed in an encounter with Maoists in Sukma District. Sukma ASP Santosh Singh said that ""A team of the STF and district police came under fire from the Maoists near Kondare village under Gadiras police station at around 3 p.m. when they were returning from a routine patrolling.",1,Armed Assault,301171501.0,1
CPI-Maoist cadres killed two villagers in a Kangaroo court after branding them as police informers in Narayanpur District.,2,Armed Assault,301171502.0,2
"Two CPI-Maoist cadres, identified as Bhagat and Kosa, were killed during an encounter between Police personnel and the Maoists in the forest area in the Konta village of Dantewada District along the Chhattisgarh-Andhra Pradesh border. Police recovered one rifle, one 12 bore rifle and a cartridge from the encounter site.",2,Armed Assault,301180801.0,2
"Two self-styled 'deputy commanders' of the CPI-Maoist, identified as Mukchi Bheemand and Kudiyam Budhram, were killed in a gunfight with a contingent of the District Force and SPOs during a combing operation in Gucchakonta village in Bijapur District.",2,Armed Assault,301181101.0,2
A CRPF trooper was killed and another injured as Maoists attacked a contingent of CRPF and local Police engaged in an area domination exercise in Timmadwada area of Sukma District of Chhattisgarh.,1,Armed Assault,301181301.0,1
"Suspected CPI-Maoist cadres fired at an MI-17 IAF chopper at Chintagufa in Sukma District of Chhattisgarh in the afternoon of carrying an Inspector-General of CRPF. At least three bullets hit the chopper while it was landing at Chintagufa, but nobody, including CRPF IG H S Sidhu based in Chhattisgarh, was injured.",0,Armed Assault,301181401.0,0
"A CPI-Maoist 'commander' carrying a reward of INR 100,000 on his head was killed in an encounter with Police in Sukma District of Chhattisgarh. The 'black uniform-clad' Maoist 'commander', identified as Kartam Deva, was killed in the encounter that took place in the forest near Burumapad village, SP D Shravan said. Later, during a search of the spot, Police recovered the body of the Maoist 'commander'. Four loaded guns, detonator and other material were recovered from the spot. The horns and skin of a deer were also seized from the place, the SP said.",1,Armed Assault,301181601.0,1
One Police personnel is killed and another sustains injuries when CPI-Maoist cadres ambush a Police party in the Rajnandgaon District.,1,Armed Assault,301190501.0,1
"CPI-Maoist cadres attack Bastar Police chief, Himanshu Gupta, and ambush a Police party, killing a constable.",1,Armed Assault,301190502.0,1
13 CPI-Maoist cadres and one Salwa Judum (anti-Maoist vigilante group) activist were killed in a firing between Maoists and the Police,13,Armed Assault,301191001.0,10+
Two women Maoists were killed in an encounter with SFs in Kanker District of Chhattisgarh.,2,Armed Assault,301191301.0,2
A Maoist was killed in a gunbattle with Police in Bijapur District.,1,Armed Assault,301191501.0,1
"A Maoist cadre was killed in an encounter with the SFs in Bijapur District of Chhattisgarh. When the 204 battalion of CRPF reached Hirma para village of the District during a patrol, the Maoists opened indiscriminate fire at them. The SFs opened retaliatory fire in which one Maoist cadre was killed, Police said.",1,Armed Assault,301191601.0,1
"A woman CPI-Maoist 'commander' identified as Zareena was killed in an encounter with SFs personnel at Bayanar village under Bedre Police Station limits in Bijapur District of Chhattisgarh. ""An encounter took place between the Police and the Maoists between 12 to 12.45 pm today near Bayanar forest of Bijapur District. A woman Maoist commander was killed during the encounter and one 12-bore rifle, one locally made gun and heavy Maoist dump was recovered from the spot of the encounter,"" said a statement issued by the Police.",1,Armed Assault,301191602.0,1
A former sarpanch (village headman) is beaten to death by CPI-Maoist cadres at Mohli village in the Surguja District.,1,Armed Assault,301200601.0,1
"The cadres of the CPI-Maoist killed a villager, identified as Ramsu in Badhgaon under Kanker District. The body of Ramsu was found on the outskirts of Badejharkatta village with a poster stuck on his clothes accusing him to be a Police informer",1,Armed Assault,301201101.0,1
Two troopers of CoBRA battalion were injured following a gun battle with CPI-Maoist cadres who had opened fire in the jungles of Chintagufa Police Station in Sukma District of Chhattisgarh while the SFs were on search operation.,0,Armed Assault,301201401.0,0
"Pankuj Thakur, a Constable with the 13th battalion of the Chhattisgarh Armed Force, was injured when a pressure bomb exploded near Murdonda village of Bijapur District.",0,Bombing,301201501.0,0
"Suspected CPI-Maoist cadres attacked a ""Sahayak Arakshak"" identified as Kichche Soya with sharp weapons at a marketplace at Pollamapalli area in Sukma District.",0,Armed Assault,301201502.0,0
A joint team of Dantewada and Bijapur Police busted a Maoist camp in Hurrepal forests of Dantewada District.,0,Armed Assault,301201503.0,0
Three CPI-Maoist cadres were killed in a gun battle between Maoists and the joint team of the local Police and Central Reserve Police Force (CRPF) in the forest area of Timarpur in the Bastar District.,3,Armed Assault,301210701.0,3-5
"The STF and the CRPF personnel raided a Maoist hideout in Dantewada's Kirandul area and subsequent to an encounter recovered a huge cache of explosives. The Inspector General of Police Girdhari Nayak said, ""STF and CRPF fought a fierce battle with the Leftist insurgents for at least 30 minutes in a forest bastion of the ultras. The rebels fled, leaving a stock of explosives, literature and uniforms.""",0,Armed Assault,301210801.0,0
"CPI-Maoist armed cadres opened indiscriminate fire at Darbha Police Station in Bastar District of Chhattisgarh, injuring one constable identified as Dharmendra Kunjam.",0,Armed Assault,301211301.0,0
"Two CPI Maoist cadres were killed and a cache of arms was seized following a prolonged encounter between the SFs and the insurgents in the forests of Gudabeda and Nichebeda villages under the Koyalibeda Police Station limits Kanker District, Chhattisgarh.",2,Armed Assault,301211401.0,2
A Police personnel is killed during a CPI-Maoist ambush in the Kanker District.,1,Armed Assault,301230501.0,1
"A CRPF trooper, identified as Janaradan Sonawane was injured in an IED blast near Sameli village in Dantewada District of Chhattisgarh.",0,Bombing,301231601.0,0
"At least five CPI-Maoist cadres were shot dead by the Police during an encounter in the Bijapur District under Bastar Division. According to Police sources, a huge cache of arms and explosives was also recovered from the encounter site.",5,Armed Assault,301240901.0,6-10
"SFs busted a Maoist training camp in the forest of Pidiya village under Gangalur Police Station limits, in Bijapur District.",0,Armed Assault,301241302.0,0
Two people were killed and 15 vehicles set ablaze at Ghat Pindari near Wadrafnagar in the Surguja District by the Maoists.,2,Armed Assault,301260601.0,2
A 50-ft tall Maoist memorial constructed in the dense forest of Machanar in Kondagaon District of Chhattisgarh has been demolished by SF personnel.,0,Armed Assault,301261502.0,0
"One top CPI-Maoist leader, suspected to be the commander of Mahasamund-Bargarh division, was killed during an exchange of fire in Karramal and Paridhapali forest under Baramkela Police Station in Raigarh District. According to State DGP Anil M Navaney, after getting a tip-off that a group of 50 Maoists were holding a meeting with the local villagers in Karramal forest, a joint squad of Police Force and STF was sent to the location. After spotting the SFs, the Maoists opened fire and during the Police retaliation, one of the Maoists was gunned down, while other escaped from the spot, DGP Navaney said. ""Among other things, an AK 47 was recovered from the deceased Maoist, who was in Maoist uniform. Besides, a diary, seized from him, has identified him as DVCM, Ajhade. However, we are yet to identify the body. But the recovery of AK 47 from him clearly indicates that he was a high-ranking Maoist leader"", Navaney said. Apart from the AK 47 rifle, three magazines, two detonators, a tiffin bomb and other material was recovered from the location, he added.",1,Armed Assault,301271201.0,1
"Three CPI-Maoist cadres, who were allegedly involved in the Jiram valley attack on Congress leaders in Bastar District on May 25, 2013, were killed in an encounter led by SF personnel at Metapal village in Dantewada District.",3,Armed Assault,301271601.0,3-5
"A CPI-Maoist cadre, identified as Kasipoina Ravi alias Sagar, was killed while five others managed to escape following an encounter during the combing operation launched by the Police at Kodishala forest area of Tadvain mandal in the Warangal District. The slain Maoist was a native of Devannapeta village of Hasanparthy mandal and was also a member of Khammam-Karimnagar District committee of the CPI-Maoist.",1,Armed Assault,301280901.0,1
